"row","col","results22","results23","results24","results25","results32","results33","results34","results35","results42","results43","results44","results45","results52","results53","results54","results55"
44,0.4,0.735385819308607,0.621054521042042,0.541643596301695,0.480174222268652,0.621054521042042,0.481858513537389,0.392190175284006,0.327161584782687,0.541643596301695,0.392190175284006,0.301937457757813,0.239544343825596,0.480174222268652,0.327161584782687,0.239544343825596,0.180949621468861
45,0.4,0.745378826610284,0.632447506918562,0.553353050641652,0.491807102967101,0.632447506918562,0.493426859033468,0.403102584213114,0.33727108190907,0.553353050641652,0.403102584213114,0.311611996344391,0.24809070593349,0.491807102967101,0.33727108190907,0.24809070593349,0.18825815110091
46,0.4,0.755056184701275,0.643594580224681,0.564880681282334,0.503309534083059,0.643594580224681,0.504867535219627,0.413961900277991,0.347373359689817,0.564880681282334,0.413961900277991,0.321296382818925,0.256676446981648,0.503309534083059,0.347373359689817,0.256676446981648,0.19561914770098
47,0.4,0.764424054132158,0.654495816751724,0.576223558517416,0.514677143285307,0.654495816751724,0.51617600424895,0.424762721286778,0.357463406242012,0.576223558517416,0.424762721286778,0.330985899719057,0.265298190988801,0.514677143285307,0.357463406242012,0.265298190988801,0.203031210685279
48,0.4,0.773488738639726,0.665151647690727,0.587379112003781,0.525905860862845,0.665151647690727,0.527348045837565,0.435499834151349,0.367536283891606,0.587379112003781,0.435499834151349,0.340675864293443,0.273952482107957,0.525905860862845,0.367536283891606,0.273952482107957,0.210492713099546
49,0.4,0.782256660499917,0.67556283842937,0.598345119029773,0.536991916591441,0.67556283842937,0.538379752344218,0.44616822011663,0.377587140506913,0.598345119029773,0.44616822011663,0.350361640999114,0.282635802980734,0.536991916591441,0.377587140506913,0.282635802980734,0.218001834953092
50,0.4,0.790734337477457,0.685730466946764,0.609119691465174,0.547931835575634,0.685730466946764,0.549267523075102,0.456763058799479,0.38761121936164,0.609119691465174,0.456763058799479,0.360038651636789,0.291344590903728,0.547931835575634,0.38761121936164,0.291344590903728,0.225556591852964
51,0.4,0.798928361321501,0.695655906706325,0.61970126661726,0.558722433221487,0.695655906706325,0.560008057930199,0.467279731171957,0.39760386770131,0.61970126661726,0.467279731171957,0.369702388455966,0.300075252142076,0.558722433221487,0.39760386770131,0.300075252142076,0.233154859352969
52,0.4,0.806845377752556,0.705340802297955,0.63008858967051,0.569360809474211,0.705340802297955,0.570598350492887,0.477713820681157,0.407560544160085,0.63008858967051,0.477713820681157,0.379348417944915,0.308824173704518,0.569360809474211,0.407560544160085,0.308824173704518,0.240794393850518
53,0.4,0.814492067883391,0.714787053219335,0.640280703926024,0.57984434159316,0.714787053219335,0.581035679860523,0.488061117980598,0.417476824348533,0.640280703926024,0.488061117980598,0.388972391458406,0.317587738326505,0.57984434159316,0.417476824348533,0.317587738326505,0.24847284983077
54,0.4,0.821875131014829,0.723996794584399,0.650276937127419,0.59017068048691,0.723996794584399,0.591317605910171,0.498317616340429,0.427348409386351,0.650276937127419,0.498317616340429,0.398570051157563,0.3263623295206,0.59017068048691,0.427348409386351,0.3263623295206,0.256187798824244
55,0.4,0.829001268746305,0.732972379174803,0.660076888535764,0.600337738728046,0.732972379174803,0.601441956849756,0.50847951466463,0.437171126180345,0.660076888535764,0.50847951466463,0.408137235862448,0.335144343996182,0.600337738728046,0.437171126180345,0.335144343996182,0.263936738772613
